,System,S2: 5 carbons,S2: 8 carbons,S2: 11 carbons,S2: 14 carbons,S2: 17 carbons,S2 Err: 5 carbons,S2 Err: 8 carbons,S2 Err: 11 carbons,S2 Err: 14 carbons,S2 Err: 17 carbons
0,acetyl - acetyl,0.7001360719366388,0.8028688853595389,0.886844743703984,0.9332522929843815,0.9522651156898426,0.03517413351822655,0.029516914122303388,0.022375098168679337,0.020626920735753607,0.019549139205679945
1,amino - amino,0.6354206021341824,0.8068368630178767,0.8884786301775511,0.9334807791447257,0.954036735249536,0.03205567023964433,0.03014009231093549,0.02591831552306045,0.01027025979010129,0.011075280612394144
2,carboxyl - carboxyl,0.7219781894473192,0.8474912974496729,0.9217578078616768,0.9533711514409499,0.9644848687725986,0.025769944293236587,0.03027902238200287,0.020102364678450033,0.011085995339050154,0.010222973918377906
3,cyano - cyano,0.6818958443431923,0.8194557730071381,0.8801676552144617,0.9198733770281737,0.9456748993707638,0.03640513811587363,0.03538556630300404,0.023067992784164146,0.020180872166210284,0.01757339044519524
4,cyclopropyl - cyclopropyl,0.7321135724659813,0.8192338717849083,0.8856936153109988,0.9171659473287441,0.9450481114862953,0.03064809232462073,0.018530114494976376,0.031569737741720845,0.02183129683689445,0.018877875835350017
5,ethylene - ethylene,0.703717511246561,0.8172737198709082,0.8902252001293217,0.9091147391803605,0.9415253987852072,0.038612586257882345,0.0358520425466112,0.02634040698756369,0.02591389701778803,0.015285552808601194
6,fluorophenyl - fluorophenyl,0.7931966696057089,0.8281142291768523,0.8958268153338926,0.9017649213255471,0.9216011062512577,0.03727849254399948,0.025642612516995927,0.015887092883564633,0.01499706885852871,0.022245552446694628
7,hydroxyl - hydroxyl,0.6404529029346411,0.8299982453645949,0.9076131964274383,0.9442191803068678,0.9589604796963718,0.01924616972280249,0.03349238843817585,0.02035966488425137,0.014384787250875771,0.009973435051329544
8,isopropyl - isopropyl,0.7132009336458143,0.8143025101469042,0.8669483718752472,0.9106014734911415,0.9393719742189713,0.036387771370480916,0.022804125542074616,0.02071250954510734,0.028157273450292376,0.03326046601030607
9,methoxy - methoxy,0.688037847140882,0.8108843531272388,0.8842456881958405,0.9261351568874108,0.9570561330827632,0.03921614086267195,0.034049883430132696,0.026928565667720627,0.00765378079714803,0.012066384321078557
10,methyl - methyl,0.6690624036209682,0.8124892983947941,0.8840024689200199,0.9324621550054768,0.9455992930953669,0.03445706875515122,0.03322264366346861,0.024470530297645957,0.02288644001000059,0.015108795286459276
11,nitro - nitro,0.6730957223267111,0.7964914870790268,0.8875824662947324,0.9264763530408169,0.9578675330363293,0.03713969801928653,0.030430402937729355,0.01857979945497949,0.01916855524966506,0.01238435541021681
12,nitrophenyl - nitrophenyl,0.8248861573533967,0.863122582337355,0.8849089848192172,0.9130072055356526,0.9302604385096813,0.018227205824923296,0.014097001689137903,0.014698821370997164,0.015793935018058376,0.013811911850408828
13,perfluoromethyl - perfluoromethyl,0.6949120064831108,0.8135005317997489,0.8788812325481311,0.9107218559060282,0.9416071528084917,0.03259922846165067,0.027211392045433547,0.023644009805575236,0.0175783434559656,0.013123242650280961
14,phenyl - phenyl,0.7862405725162616,0.8265789880847191,0.8816810229899165,0.916234815731199,0.942737753894399,0.03571173205343899,0.023154214701696423,0.024966181404398404,0.01739060512116766,0.015664265707023783
15,pyrrole - pyrrole,0.7696271892081887,0.8657992937368816,0.9125840594452377,0.9411106640856317,0.9615239442751304,0.04270905038018513,0.034033944264315115,0.011698287891189416,0.018617723624571893,0.012946279118921383
